date,pathogenic E. coli,salmonella,norovirus,campylobacter jejuni,clostridium_perfringens
2017/01/01,0,6,75,0,0
2017/02/01,0,0,9,3,10
2017/03/01,0,3,48,3,5
2017/04/01,0,46,217,0,0
2017/05/01,140,129,188,18,27
2017/06/01,23,719,41,0,0
2017/07/01,83,74,0,77,14
2017/08/01,110,1033,178,0,13
2017/09/01,129,284,89,0,0
2017/10/01,146,89,22,0,0
2017/11/01,31,0,15,0,0
2017/12/01,0,0,86,0,0
2018/01/01,0,0,61,0,0
2018/02/01,0,0,159,0,0
2018/03/01,64,0,318,21,85
2018/04/01,32,4,45,7,15
2018/05/01,0,48,162,0,446
2018/06/01,81,249,129,212,0
2018/07/01,4,218,84,179,12
2018/08/01,6,1172,6,14,0
2018/09/01,3220,1009,111,0,0
2018/10/01,103,9,144,0,121
2018/11/01,0,6,41,0,0
2018/12/01,6,0,59,20,0
2019/01/01,0,0,90,0,27
2019/02/01,0,0,15,0,40
2019/03/01,0,0,387,0,62
2019/04/01,287,5,133,0,6
2019/05/01,51,90,141,4,0
2019/06/01,0,199,84,109,0
2019/07/01,44,78,0,165,6
2019/08/01,119,21,70,0,0
2019/09/01,4,55,0,11,0
2019/10/01,39,3,10,23,0
2019/11/01,31,46,68,0,15
2019/12/01,0,0,106,0,95
2020/01/01,0,6,77,29,77
2020/02/01,0,0,45,9,0
2020/03/01,113,0,0,0,0
2020/04/01,0,68,15,6,0
2020/05/01,0,3,0,0,0
2020/06/01,141,213,0,62,39
2020/07/01,47,122,0,358,0
2020/08/01,33,56,0,21,6
2020/09/01,40,35,6,15,31
2020/10/01,136,6,2,0,0
2020/11/01,19,119,81,15,10
2020/12/01,0,0,17,0,44
2021/01/01,0,0,231,0,0
2021/02/01,0,0,105,0,190
2021/03/01,0,4,253,14,0
2021/04/01,0,0,153,226,109
2021/05/01,3,7,123,35,12
2021/06/01,118,69,115,32,0
2021/07/01,835,9,52,146,162
2021/08/01,216,463,37,63,0
2021/09/01,243,3,29,4,0
2021/10/01,117,19,5,29,20
2021/11/01,24,9,33,14,0
2021/12/01,0,2,220,27,96